Product ID,Product Category,Price per Unit,Product Name
1,Beauty,$25,Beauty Essentials
2,Beauty,$30,Luxury Skincare
3,Beauty,$50,Premium Facial Serum
4,Beauty,$300,High-End Anti-Aging Cream
5,Beauty,$500,Exclusive Spa Treatment Set
6,Clothing,$25,Casual T-Shirt
7,Clothing,$30,Classic Hoodie
8,Clothing,$50,Stylish Jacket
9,Clothing,$300,Designer Winter Coat
10,Clothing,$500,Luxury Cashmere Sweater
11,Electronics,$25,Portable Bluetooth Speaker
12,Electronics,$30,Smartphone Accessory Kit
13,Electronics,$50,Headphones
14,Electronics,$300,Android Tablet
15,Electronics,$500,4K Smart TV
