Transaction ID,Date,Product Category,Quantity,Price per Unit,Total Amount,Customer ID,Gender,Age,City,Province,Country,Season,is_discount,Customer Type,Total Spend,Product ID
1,2023-01-01,Beauty,3,500,1500,CUST045,Female,55,Montreal,Quebec,Canada,Winter,True,New,10525,5
2,2023-01-01,Clothing,3,300,900,CUST041,Male,34,Charlottetown,Prince Edward Island,Canada,Winter,True,New,7650,9
3,2023-01-01,Clothing,4,300,1200,CUST022,Male,18,Gatineau,Quebec,Canada,Winter,True,New,11785,9
4,2023-01-02,Electronics,3,30,90,CUST007,Male,46,Saint John,New Brunswick,Canada,Winter,True,New,4910,12
5,2023-01-02,Beauty,1,25,25,CUST044,Female,22,Gatineau,Quebec,Canada,Winter,True,New,8150,1
6,2023-01-02,Clothing,3,50,150,CUST031,Male,44,Burnaby,British Columbia,Canada,Winter,False,New,6385,8
7,2023-01-02,Clothing,3,500,1500,CUST020,Male,22,Laval,Quebec,Canada,Winter,True,New,7680,10
8,2023-01-03,Beauty,2,300,600,CUST047,Female,40,Toronto,Ontario,Canada,Winter,True,New,14500,4
9,2023-01-04,Beauty,2,500,1000,CUST021,Female,50,Burnaby,British Columbia,Canada,Winter,True,New,8475,5
10,2023-01-04,Clothing,3,50,150,CUST045,Female,55,Montreal,Quebec,Canada,Winter,False,Returning,10525,8
11,2023-01-04,Beauty,3,30,90,CUST001,Male,34,Kitchener,Ontario,Canada,Winter,False,New,14430,2
12,2023-01-05,Beauty,2,25,50,CUST026,Female,28,Saint John,New Brunswick,Canada,Winter,False,New,10485,1
13,2023-01-05,Electronics,1,50,50,CUST045,Female,55,Montreal,Quebec,Canada,Winter,False,Returning,10525,13
14,2023-01-05,Electronics,2,500,1000,CUST001,Male,34,Kitchener,Ontario,Canada,Winter,True,Returning,14430,15
15,2023-01-06,Electronics,4,30,120,CUST007,Male,46,Saint John,New Brunswick,Canada,Winter,False,Returning,4910,12
16,2023-01-06,Clothing,1,500,500,CUST043,Female,48,Mount Pearl,Newfoundland and Labrador,Canada,Winter,False,New,4310,10
17,2023-01-07,Electronics,3,25,75,CUST049,Female,54,Summerside,Prince Edward Island,Canada,Winter,False,New,16805,11
18,2023-01-07,Clothing,3,25,75,CUST022,Male,18,Gatineau,Quebec,Canada,Winter,False,Returning,11785,6
19,2023-01-08,Clothing,2,300,600,CUST009,Male,63,Burnaby,British Columbia,Canada,Winter,False,New,5060,9
20,2023-01-08,Electronics,1,25,25,CUST031,Male,44,Burnaby,British Columbia,Canada,Winter,True,Returning,6385,11
21,2023-01-09,Clothing,4,50,200,CUST026,Female,28,Saint John,New Brunswick,Canada,Winter,False,Returning,10485,8
22,2023-01-10,Clothing,1,30,30,CUST014,Male,64,Moose Jaw,Saskatchewan,Canada,Winter,False,New,6460,7
23,2023-01-10,Electronics,4,50,200,CUST016,Male,19,Kitchener,Ontario,Canada,Winter,True,New,6045,13
